#timestamp x y z qx qy qz qw
682.212000 3.967433 6.117440 0.165000 -0.706205 0.035710 -0.035710 0.706204
683.232000 4.059029 7.030859 0.165000 -0.706242 0.034972 -0.034972 0.706241
684.256000 4.149522 7.948005 0.165000 -0.706262 0.034563 -0.034563 0.706262
685.344000 4.244679 8.922570 0.165000 -0.706276 0.034264 -0.034264 0.706276
686.368000 4.333735 9.839857 0.165000 -0.706280 0.034185 -0.034185 0.706280
687.456000 4.428689 10.814443 0.165000 -0.706264 0.034511 -0.034511 0.706264
688.480000 4.518275 11.731677 0.165000 -0.706292 0.033942 -0.033942 0.706292
689.568000 4.610940 12.706482 0.165000 -0.706311 0.033548 -0.033548 0.706311
690.592000 4.698728 13.623892 0.165000 -0.706294 0.033896 -0.033896 0.706294
691.616000 4.787261 14.541230 0.165000 -0.706286 0.034066 -0.034066 0.706286
692.672000 4.878828 15.487208 0.165000 -0.706283 0.034133 -0.034133 0.706282
693.760000 4.973469 16.461823 0.165000 -0.706275 0.034296 -0.034296 0.706275
694.816000 5.065808 17.407726 0.165000 -0.706266 0.034465 -0.034465 0.706266
695.840000 5.155608 18.324940 0.165000 -0.706264 0.034518 -0.034518 0.706264
696.928000 5.251202 19.299461 0.165000 -0.706260 0.034602 -0.034602 0.706260
697.952000 5.341857 20.216595 0.165000 -0.706232 0.035168 -0.035168 0.706232
698.976000 5.434483 21.133526 0.165000 -0.706198 0.035831 -0.035831 0.706198
700.032000 5.530501 22.079062 0.165000 -0.706217 0.035456 -0.035456 0.706217
701.120000 5.627983 23.053398 0.165000 -0.706227 0.035253 -0.035253 0.706227
702.176000 5.723429 23.998991 0.165000 -0.706195 0.035900 -0.035900 0.706195
703.200000 5.816287 24.915901 0.165000 -0.706227 0.035270 -0.035270 0.706227
704.220000 5.907457 25.829365 0.165000 -0.706226 0.035291 -0.035291 0.706226
705.244000 5.999737 26.746328 0.165000 -0.706218 0.035434 -0.035434 0.706218
706.300000 6.093805 27.692062 0.165000 -0.706251 0.034786 -0.034786 0.706250
707.356000 6.187565 28.637825 0.165000 -0.706242 0.034968 -0.034968 0.706242
708.380000 6.278511 29.554930 0.165000 -0.706246 0.034872 -0.034872 0.706246
709.404000 6.369070 30.472067 0.165000 -0.706253 0.034739 -0.034739 0.706253
710.424000 6.459384 31.385614 0.165000 -0.706233 0.035154 -0.035154 0.706232
711.448000 6.551870 32.302559 0.165000 -0.706196 0.035881 -0.035881 0.706196
712.472000 6.645919 33.219345 0.165000 -0.706174 0.036302 -0.036302 0.706174
